시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
인천,용유초을왕분교,1976,남부,초,자체활용,인천광역시 인천광역시 을왕동 을왕동 762-1
인천,인천남중 북도분교,1999,남부,중,미활용,인천광역시 인천광역시 북도면 신도리 628
인천,화도초장화분교,1995,강화,초,자체활용,인천광역시 인천광역시 화도면 장화리 336-3
인천,효열초,1994,남부,초,자체활용,인천광역시 인천광역시 도화동 235
인천,흥왕초,1999,강화,초,자체활용,인천광역시 인천광역시 화도면 흥왕리 361
광주,대촌동초등학교,2002,서부,초,대부,광주광역시 광주광역시 남구 양과동 890 일원
광주,본량중학교,1999,서부,중,대부,광주광역시 광주광역시 광산구 남산동 618-8 일원
광주,본량초등학교 선동분교,1993,서부,초,자체활용,광주광역시 광주광역시 광산구 선동 494 일원
광주,삼도남초등학교,1998,서부,초,대부,광주광역시 광주광역시 광산구 삼도동 823-1 일원
광주,지원중학교,2009,동부,중,대부,광주광역시 광주광역시 동구 소태동 491 일원
광주,평동서초등학교,1998,서부,초,자체활용,광주광역시 광주광역시 광산구 동산동 227 일원
대전,대동초,1997,서부,초,대부,대전광역시 유성구 대동 323
대전,용정초 용호분교장,1996,동부,초,자체활용,대전광역시 대덕구 용호동 55
대전,진잠초 방성분교장,1995,서부,초,미활용,대전광역시 유성구 성북동 188-1
울산,(구)송정초,1999,해당없음,초,자체활용,울산광역시 북구 송정동 820
울산,검단분교,2020,해당없음,초,미활용,울산광역시 울주군 웅촌면 검단리 603-3
울산,궁근정초,2016,해당없음,초,자체활용,울산광역시 울주군 상북면 궁근정리564-1
울산,길천초,2016,해당없음,초,자체활용,울산광역시 울주군 상북면 길천리 401
울산,내와분교,1999,해당없음,초,자체활용,울산광역시 울주군 두서면 내와리 972-1
울산,대송분교,1993,해당없음,초,자체활용,울산광역시 울주군 서생면 대송리 195
울산,동해분교,1999,해당없음,초,미활용,울산광역시 북구 당사동 465-2
울산,두남분교,1999,해당없음,초,자체활용,울산광역시 울주군 두서면 구량리 212-2
울산,두북분교,1999,해당없음,초,대부,울산광역시 울주군 두서면 활천리 329-1
울산,무룡분교,1999,해당없음,초,자체활용,울산광역시 북구 무룡동 276-1
울산,미호분교,1993,해당없음,초,미활용,울산광역시 울주군 두서면 미호리 610
울산,봉월초,2012,해당없음,초,대부,울산광역시 울주군 두동면 봉계리 1030-3
울산,삼광분교,1999,해당없음,초,미활용,울산광역시 울주군 온양읍 삼광리 657-1
울산,서사분교,1999,해당없음,초,자체활용,울산광역시 울주군 범서읍 서사리 270
울산,신명분교,1999,해당없음,초,자체활용,울산광역시 북구 신명동 153-5
울산,향산초,2016,해당없음,초,자체활용,울산광역시 울주군 상북면 향산리 344
울산,효문분교,2020,해당없음,초,자체활용,울산광역시 북구 효문동 767
세종,영대초등학교,2003,해당없음,초,자체활용,"세종특별자치시 세종시 금남면 영대리 193-2, 4, 5"
경기,(구)고양중,2013,고양,중,자체활용,경기도 고양시 삼송동 45
