,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소,위도,경도
556,충남,대평초등학교,2014,홍성,초,미활용,충청남도 홍성군 광천읍 대평리 318,37.2975298,126.99094585994918
565,충남,병천초 봉성분교,2007,천안,초,미활용,충청남도 천안시 동남구 병천면  매성리 253,36.8104934798206,127.318043206458
566,충남,복수초 용진분교,2011,금산,초,미활용,충청남도 금산군 복수면 용진리 405-1,36.17180568834451,127.43152021651149
570,충남,삼포초등학교,1999,서산,초,미활용,충청남도 서산시 고북면 봉생리 101-2,37.7563129786871,127.975641162022
576,충남,원북초방갈분교,2021,태안,초,미활용,충청남도 태안군 원북면 방갈리 202,36.8737369968991,126.212341304426
583,충남,장곡초 반계분교,2016,홍성,초,미활용,충청남도 홍성군 장곡면 천태리 630-4,36.5064922228989,126.753343527625
584,충남,장곡초 오서분교,2015,홍성,초,미활용,충청남도 홍성군 장곡면 광성리 28,36.4853918379267,126.678145045542
586,충남,장신초등학교,1999,예산,초,미활용,충청남도 예산군 광시면 서초정리 490,35.7171894,126.6266623550163
590,충남,주봉초등학교,2017,공주,초,미활용,충청남도 공주시 이인면 주봉리 250-4,37.7089862201627,127.913869146947
592,충남,탄천초 가척분교,1993,공주,초,미활용,충청남도 공주시 탄천면 가척리 491,36.3094597796681,127.005119690782
597,충남,황화초등학교,2022,논산계룡,초,미활용,충청남도 논산시 연무읍 마전리 811-17,36.0889876832328,127.08928930804
619,전북,비안도초등학교,2021,군산,초,미활용,전라북도 군산시 옥도면 비안도리 259,35.7351622,126.45660762366933
623,전북,선유도초 명도분교,1992,군산,초,미활용,전라북도 군산시 옥도면 말도리 산115-34,35.8522103719961,126.346243361328
624,전북,선유도초 방축도분교,1992,군산,초,미활용,전라북도 군산시 옥도면 말도리 산130-1,35.8495730731,126.372045315845
631,전북,어청도초 연도분교,2003,군산,초,미활용,전라북도 군산시 옥도면 연도리 37,36.0821977074983,126.441087630865
640,전북,위도초 상왕분교,1992,부안,초,미활용,전라북도 부안군 위도면 상왕등 산143,35.6586730835776,126.108223113934
641,전북,위도초 하왕분교,1992,부안,초,미활용,전라북도 부안군 위도면 하왕등 산71,35.6435853438288,126.119383268813
655,전남,거문중초도분교장,2017,여수,중,미활용,전라남도 여수 삼산면 초도리 산456,34.2364374349715,127.249986579329
